,accelerometer_raw,time,iss_height,iss_coordinates
186,"{'x': 0.01811653550810992, 'y': 0.032070865940083515, 'z': 0.014296236528482503}",1735914357.265267,413999.5007161363,"-46.30083074743695, -59.558458592958615"
187,"{'x': 0.01719144242528986, 'y': 0.033374816429699104, 'z': 0.012290328459347025}",1735914358.270032,413996.81444548775,"-46.32957857801734, -59.479016841136"
188,"{'x': 0.01803084031117021, 'y': 0.032940000295639, 'z': 0.012381101408900384}",1735914359.271709,413994.14311065065,"-46.35817759298019, -59.39973067585548"
189,"{'x': 0.018049991078692297, 'y': 0.03244599136884107, 'z': 0.014741204409519218}",1735914360.2764502,413991.47044798324,"-46.38679078979031, -59.32014804069268"
190,"{'x': 0.01962381066750666, 'y': 0.03205745875649951, 'z': 0.012594540956396175}",1735914361.281857,413988.80125533696,"-46.41539072339049, -59.24034325949982"
191,"{'x': 0.01876548382177736, 'y': 0.03324656773895642, 'z': 0.012245031959443983}",1735914362.285206,413986.14085630194,"-46.44385154045137, -59.16066757311504"
192,"{'x': 0.018586515350411212, 'y': 0.03266457763291362, 'z': 0.012370063246786288}",1735914363.288241,413983.4897935095,"-46.47224572061803, -59.08091886709529"
193,"{'x': 0.018180435550483015, 'y': 0.03304982084262823, 'z': 0.012961224866385073}",1735914364.289006,413980.85012481845,"-46.500510962955744, -59.001272782453285"
194,"{'x': 0.01993722938803284, 'y': 0.03377692160551526, 'z': 0.013585306948193484}",1735914365.295747,413978.20175371907,"-46.528877751405645, -58.92107819026469"
195,"{'x': 0.0192760005593299, 'y': 0.03354706314287111, 'z': 0.013033455980840714}",1735914366.29951,413975.5658425893,"-46.557104750081116, -58.84101583383098"
196,"{'x': 0.01900498498934533, 'y': 0.03370587482170739, 'z': 0.011739015348672483}",1735914367.302742,413972.9384226514,"-46.5852494388278, -58.76092370921995"
197,"{'x': 0.018298784130657914, 'y': 0.0336732151799077, 'z': 0.012691645377013385}",1735914368.307926,413970.31135918107,"-46.61339446482511, -58.680565688089835"
198,"{'x': 0.018379778505551534, 'y': 0.033348220496189795, 'z': 0.011458669179455754}",1735914369.3005922,413967.720409033,"-46.641139797565934, -58.60108746873851"
199,"{'x': 0.018496251833695392, 'y': 0.033231747168045986, 'z': 0.012157511815728366}",1735914370.311465,413965.09652944264,"-46.669272071986214, -58.52023375431053"
200,"{'x': 0.019473102534160278, 'y': 0.033453826205454985, 'z': 0.013009483391818247}",1735914371.3161962,413962.4880023085,"-46.69724322038397, -58.43957437155009"
